Python 3.13.7 (tags/v3.13.7:bcee1c3, Aug 14 2025, 14:15:11) [MSC v.1944 64 bit (AMD64)] on win32
Enter "help" below or click "Help" above for more information.

= RESTART: C:\Users\Kokkc\Downloads\crypto_games_bot_stable_100-9999_norm_versiya_Version36_Version9.py
22:03:07 [Bot-1] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-2] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-3] Запущен payout 1000..9999 highroll99=False
22:03:07 [Bot-4] Запущен payout 1000..9999 highroll99=False
22:03:08 [Bot-2] [Bot-2] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] Старт баланс=33.34213908
22:03:08 [Bot-3] [Bot-3] Старт баланс=33.34213908
22:03:08 [Bot-4] [Bot-4] Старт баланс=33.34213908
22:03:08 [Bot-1] [Bot-1] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-3] [Bot-3] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-2] [Bot-2] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0
22:03:08 [Bot-3] [LOSS] spin 1 payout=1000 roll=59.2730000000 bet=0.00100000
22:03:08 [Bot-1] [LOSS] spin 1 payout=1000 roll=73.7260000000 bet=0.00100000
22:03:08 [Bot-2] [LOSS] spin 1 payout=1000 roll=63.4350000000 bet=0.00100000
22:03:08 [Bot-4] [LOSS] spin 1 payout=1000 roll=94.3520000000 bet=0.00100000
22:03:09 [Bot-3] [LOSS] spin 2 payout=1001 roll=58.9560000000 bet=0.00100000
22:03:09 [Bot-1] [LOSS] spin 2 payout=1001 roll=20.2850000000 bet=0.00100000
22:03:09 [Bot-2] [LOSS] spin 2 payout=1001 roll=29.8380000000 bet=0.00100000
22:03:09 [Bot-4] [LOSS] spin 2 payout=1001 roll=32.8880000000 bet=0.00100000
22:03:09 [Bot-3] [LOSS] spin 3 payout=1002 roll=39.0990000000 bet=0.00100000
22:03:09 [Bot-1] [LOSS] spin 3 payout=1002 roll=5.3190000000 bet=0.00100000
22:03:09 [Bot-2] [LOSS] spin 3 payout=1002 roll=42.6020000000 bet=0.00100000
22:03:09 [Bot-4] [LOSS] spin 3 payout=1002 roll=6.0520000000 bet=0.00100000
22:03:09 [Bot-3] [LOSS] spin 4 payout=1003 roll=88.5980000000 bet=0.00100000
22:03:09 [Bot-1] [LOSS] spin 4 payout=1003 roll=68.2030000000 bet=0.00100000
