2025-12-07 16:15:17 [Bot-4] Запущен payout 1000..9999; periodic recovery: interval=200, range=100..200, max_spins=100
2025-12-07 16:15:18 [Bot-4] [Bot-4] ▶ Старт баланс=27.13214745
2025-12-07 16:15:18 [Bot-4] [Bot-4] 🔎 Settings: MinBet=0.001 Edge=1.0 (frac=0.01)
2025-12-07 16:15:18 [Bot-4] [LOSS] spin 1 payout=1000 roll=75.4150000000 bet=0.00100000 cycle_loss=0.00100000 loss_total=0.00100000
2025-12-07 16:15:19 [Bot-4] [LOSS] spin 2 payout=1001 roll=41.3600000000 bet=0.00100000 cycle_loss=0.00200000 loss_total=0.00200000
2025-12-07 16:15:19 [Bot-4] [LOSS] spin 3 payout=1002 roll=46.0590000000 bet=0.00100000 cycle_loss=0.00300000 loss_total=0.00300000
2025-12-07 16:15:19 [Bot-4] [LOSS] spin 4 payout=1003 roll=80.8910000000 bet=0.00100000 cycle_loss=0.00400000 loss_total=0.00400000
2025-12-07 16:15:20 [Bot-4] [LOSS] spin 5 payout=1004 roll=25.5260000000 bet=0.00100000 cycle_loss=0.00500000 loss_total=0.00500000
2025-12-07 16:15:20 [Bot-4] [LOSS] spin 6 payout=1005 roll=51.4720000000 bet=0.00100000 cycle_loss=0.00600000 loss_total=0.00600000
2025-12-07 16:15:20 [Bot-4] [LOSS] spin 7 payout=1006 roll=2.0830000000 bet=0.00100000 cycle_loss=0.00700000 loss_total=0.00700000
2025-12-07 16:15:21 [Bot-4] [LOSS] spin 8 payout=1007 roll=11.8490000000 bet=0.00100000 cycle_loss=0.00800000 loss_total=0.00800000
2025-12-07 16:15:21 [Bot-4] [LOSS] spin 9 payout=1008 roll=31.5540000000 bet=0.00100000 cycle_loss=0.00900000 loss_total=0.00900000
2025-12-07 16:15:22 [Bot-4] [LOSS] spin 10 payout=1009 roll=57.9160000000 bet=0.00100000 cycle_loss=0.01000000 loss_total=0.01000000
2025-12-07 16:15:22 [Bot-4] [LOSS] spin 11 payout=1010 roll=21.3420000000 bet=0.00100000 cycle_loss=0.01100000 loss_total=0.01100000
2025-12-07 16:15:22 [Bot-4] [LOSS] spin 12 payout=1011 roll=54.5860000000 bet=0.00100000 cycle_loss=0.01200000 loss_total=0.01200000
2025-12-07 16:15:23 [Bot-4] [LOSS] spin 13 payout=1012 roll=99.2180000000 bet=0.00100000 cycle_loss=0.01300000 loss_total=0.01300000
2025-12-07 16:15:23 [Bot-4] [LOSS] spin 14 payout=1013 roll=90.5670000000 bet=0.00100000 cycle_loss=0.01400000 loss_total=0.01400000
2025-12-07 16:15:23 [Bot-4] [LOSS] spin 15 payout=1014 roll=8.4070000000 bet=0.00100000 cycle_loss=0.01500000 loss_total=0.01500000
2025-12-07 16:15:24 [Bot-4] [LOSS] spin 16 payout=1015 roll=62.0120000000 bet=0.00100000 cycle_loss=0.01600000 loss_total=0.01600000
2025-12-07 16:15:24 [Bot-4] [LOSS] spin 17 payout=1016 roll=71.6200000000 bet=0.00100000 cycle_loss=0.01700000 loss_total=0.01700000
2025-12-07 16:15:25 [Bot-4] [LOSS] spin 18 payout=1017 roll=70.6140000000 bet=0.00100000 cycle_loss=0.01800000 loss_total=0.01800000
2025-12-07 16:15:25 [Bot-4] [LOSS] spin 19 payout=1018 roll=42.6410000000 bet=0.00100000 cycle_loss=0.01900000 loss_total=0.01900000
2025-12-07 16:15:25 [Bot-4] [LOSS] spin 20 payout=1019 roll=15.0920000000 bet=0.00100000 cycle_loss=0.02000000 loss_total=0.02000000
2025-12-07 16:15:26 [Bot-4] [LOSS] spin 21 payout=1020 roll=48.6140000000 bet=0.00100000 cycle_loss=0.02100000 loss_total=0.02100000
2025-12-07 16:15:26 [Bot-4] [LOSS] spin 22 payout=1021 roll=49.5420000000 bet=0.00100000 cycle_loss=0.02200000 loss_total=0.02200000
2025-12-07 16:15:27 [Bot-4] [LOSS] spin 23 payout=1022 roll=88.6600000000 bet=0.00100000 cycle_loss=0.02300000 loss_total=0.02300000
2025-12-07 16:15:27 [Bot-4] [LOSS] spin 24 payout=1023 roll=98.9150000000 bet=0.00100000 cycle_loss=0.02400000 loss_total=0.02400000
2025-12-07 16:15:27 [Bot-4] [LOSS] spin 25 payout=1024 roll=37.7720000000 bet=0.00100000 cycle_loss=0.02500000 loss_total=0.02500000
2025-12-07 16:15:28 [Bot-4] [LOSS] spin 26 payout=1025 roll=20.7790000000 bet=0.00100000 cycle_loss=0.02600000 loss_total=0.02600000
2025-12-07 16:15:28 [Bot-4] [LOSS] spin 27 payout=1026 roll=99.6960000000 bet=0.00100000 cycle_loss=0.02700000 loss_total=0.02700000
2025-12-07 16:15:28 [Bot-4] [LOSS] spin 28 payout=1027 roll=50.9540000000 bet=0.00100000 cycle_loss=0.02800000 loss_total=0.02800000
2025-12-07 16:15:29 [Bot-4] [LOSS] spin 29 payout=1028 roll=68.2410000000 bet=0.00100000 cycle_loss=0.02900000 loss_total=0.02900000
2025-12-07 16:15:29 [Bot-4] [LOSS] spin 30 payout=1029 roll=13.8570000000 bet=0.00100000 cycle_loss=0.03000000 loss_total=0.03000000
2025-12-07 16:15:30 [Bot-4] [LOSS] spin 31 payout=1030 roll=44.0620000000 bet=0.00100000 cycle_loss=0.03100000 loss_total=0.03100000
2025-12-07 16:15:30 [Bot-4] [LOSS] spin 32 payout=1031 roll=1.6310000000 bet=0.00100000 cycle_loss=0.03200000 loss_total=0.03200000
